NO.	ANG	POL	book_unit_lesson	part_of_speech
35	bored	znudzony	BG1_U1_L1	Przymiotniki
36	boring	nudny	BG1_U1_L1	Przymiotniki
37	cute	słodki	BG1_U1_L1	Przymiotniki
38	difficult	trudny	BG1_U1_L1	Przymiotniki
39	early	wczesny wcześnie	BG1_U1_L1	Przymiotniki
40	easy	łatwy	BG1_U1_L1	Przymiotniki
41	enthusiastic	entuzjastyczny	BG1_U1_L1	Przymiotniki
42	good	dobry	BG1_U1_L1	Przymiotniki
43	great	świetny	BG1_U1_L1	Przymiotniki
44	happy	szczęśliwy	BG1_U1_L1	Przymiotniki
45	hard-working	pracowity	BG1_U1_L1	Przymiotniki
46	intelligent	inteligentny	BG1_U1_L1	Przymiotniki
47	interesting	interesujący	BG1_U1_L1	Przymiotniki
48	lazy	leniwy	BG1_U1_L1	Przymiotniki
49	local	lokalny, miejscowy	BG1_U1_L1	Przymiotniki
50	noisy	hałaśliwy	BG1_U1_L1	Przymiotniki
51	slow	wolny	BG1_U1_L1	Przymiotniki
52	stressful	stresujący	BG1_U1_L1	Przymiotniki
53	stupid	głupi	BG1_U1_L1	Przymiotniki
54	surprised	zdziwiony	BG1_U1_L1	Przymiotniki
55	alone	sam	BG1_U1_L2	Przymiotniki
56	angry	zły	BG1_U1_L2	Przymiotniki
57	attractive	atrakcyjny	BG1_U1_L2	Przymiotniki
58	comfortable	wygodny	BG1_U1_L2	Przymiotniki
59	delicious	pyszny	BG1_U1_L2	Przymiotniki
60	early	wczesny, wcześnie	BG1_U1_L2	Przymiotniki
61	exciting	ekscytujący	BG1_U1_L2	Przymiotniki
62	friendly	przyjacielski	BG1_U1_L2	Przymiotniki
63	healthy	zdrowy	BG1_U1_L2	Przymiotniki
64	interested	zainteresowany	BG1_U1_L2	Przymiotniki
65	late	późno, późny	BG1_U1_L2	Przymiotniki
66	lazy	leniwy	BG1_U1_L2	Przymiotniki
67	lucky	szczęśliwy	BG1_U1_L2	Przymiotniki
68	modern	nowoczesny	BG1_U1_L2	Przymiotniki
69	nice	miły	BG1_U1_L2	Przymiotniki
70	similar	podobny	BG1_U1_L2	Przymiotniki
71	tasty	smaczny	BG1_U1_L2	Przymiotniki
72	worried	zmartwiony	BG1_U1_L2	Przymiotniki
73	all	wszystko	BG1_U1_L2	Słownictwo ogólne
74	anymore	już nie	BG1_U1_L2	Słownictwo ogólne
75	art	sztuka	BG1_U1_L2	Słownictwo ogólne
76	at the seaside	nad morzem	BG1_U1_L2	Słownictwo ogólne
77	basketball	koszykówka	BG1_U1_L2	Słownictwo ogólne
78	beef	wołowina	BG1_U1_L2	Słownictwo ogólne
79	biology	biologia	BG1_U1_L2	Słownictwo ogólne
80	camp	obóz	BG1_U1_L2	Słownictwo ogólne
81	cheese	ser	BG1_U1_L2	Słownictwo ogólne
82	chemistry	chemia	BG1_U1_L2	Słownictwo ogólne
83	cool	fajny	BG1_U1_L2	Słownictwo ogólne
84	cost	kosztować	BG1_U1_L2	Słownictwo ogólne
85	during	podczas	BG1_U1_L2	Słownictwo ogólne
86	equipment	sprzęt	BG1_U1_L2	Słownictwo ogólne
87	everything	wszystko	BG1_U1_L2	Słownictwo ogólne
88	fun	dobra zabawa	BG1_U1_L2	Słownictwo ogólne
89	lake	jezioro	BG1_U1_L2	Słownictwo ogólne
90	lettuce	sałata	BG1_U1_L2	Słownictwo ogólne
91	mountains	góry	BG1_U1_L2	Słownictwo ogólne
92	near	blisko	BG1_U1_L2	Słownictwo ogólne
93	offer	oferować, oferta	BG1_U1_L2	Słownictwo ogólne
94	onion	cebula	BG1_U1_L2	Słownictwo ogólne
95	pasta	makaron	BG1_U1_L2	Słownictwo ogólne
96	potatoes	ziemniaki	BG1_U1_L2	Słownictwo ogólne
97	postcard	pocztówka	BG1_U1_L2	Słownictwo ogólne
98	rice	ryż	BG1_U1_L2	Słownictwo ogólne
99	sandwich	kanapka	BG1_U1_L2	Słownictwo ogólne
100	sky	niebo	BG1_U1_L2	Słownictwo ogólne
101	the best	najlepszy	BG1_U1_L2	Słownictwo ogólne
102	volleyball	siatkówka	BG1_U1_L2	Słownictwo ogólne
103	weather	pogoda	BG1_U1_L2	Słownictwo ogólne
104	what's up?	co słychać?	BG1_U1_L2	Słownictwo ogólne
105	anyway	tak czy inaczej	BG1_U1_L3	Słownictwo ogólne
106	backpack	plecak	BG1_U1_L3	Słownictwo ogólne
107	be on a diet	być na diecie	BG1_U1_L3	Słownictwo ogólne
108	big	duży	BG1_U1_L3	Słownictwo ogólne
109	birthday wishes	życzenia urodzinowe	BG1_U1_L3	Słownictwo ogólne
110	giraffe	żyrafa	BG1_U1_L3	Słownictwo ogólne
111	give me a clue	podpowiedz mi	BG1_U1_L3	Słownictwo ogólne
112	gold	złoto	BG1_U1_L3	Słownictwo ogólne
113	hint	podpowiedź	BG1_U1_L3	Słownictwo ogólne
114	hospital	szpital	BG1_U1_L3	Słownictwo ogólne
115	it's my go	moja kolej	BG1_U1_L3	Słownictwo ogólne
116	it's your turn	twoja kolej	BG1_U1_L3	Słownictwo ogólne
117	jewellery	biżuteria	BG1_U1_L3	Słownictwo ogólne
118	make a mistake	zrobić błąd	BG1_U1_L3	Słownictwo ogólne
119	my turn	moja kolej	BG1_U1_L3	Słownictwo ogólne
120	neck	szyja	BG1_U1_L3	Słownictwo ogólne
121	never mind	nie ma znaczenia	BG1_U1_L3	Słownictwo ogólne
122	parrot	papuga	BG1_U1_L3	Słownictwo ogólne
123	pillow	poduszka	BG1_U1_L3	Słownictwo ogólne
124	quite	całkiem, dość	BG1_U1_L3	Słownictwo ogólne
125	rich	bogaty	BG1_U1_L3	Słownictwo ogólne
126	rubber	guma, gumka	BG1_U1_L3	Słownictwo ogólne
127	Shall I	Czy mam ...?	BG1_U1_L3	Słownictwo ogólne
128	silver	srebro	BG1_U1_L3	Słownictwo ogólne
129	small	mały	BG1_U1_L3	Słownictwo ogólne
130	something	coś	BG1_U1_L3	Słownictwo ogólne
131	strange	dziwny	BG1_U1_L3	Słownictwo ogólne
132	tall	wysoki	BG1_U1_L3	Słownictwo ogólne
133	use	używać	BG1_U1_L3	Słownictwo ogólne
134	you don't have to buy me	nie musisz mi kupować .....	BG1_U1_L3	Słownictwo ogólne
135	arrive late	spóźnić się	BG1_U1_L4	Słownictwo ogólne
136	broken heart	złamane serce	BG1_U1_L4	Słownictwo ogólne
137	busy	zajęty, zapracowany	BG1_U1_L4	Słownictwo ogólne
138	catch a bus	złapać autobus	BG1_U1_L4	Słownictwo ogólne
139	classmate	kolega, koleżanka z klasy	BG1_U1_L4	Słownictwo ogólne
140	colleague	kolega	BG1_U1_L4	Słownictwo ogólne
141	customer	klient	BG1_U1_L4	Słownictwo ogólne
142	especially	szczególnie	BG1_U1_L4	Słownictwo ogólne
143	foreign language	język obcy	BG1_U1_L4	Słownictwo ogólne
144	high school	liceum	BG1_U1_L4	Słownictwo ogólne
145	irritating	irytujący	BG1_U1_L4	Słownictwo ogólne
146	law	prawo	BG1_U1_L4	Słownictwo ogólne
147	midnight	północ	BG1_U1_L4	Słownictwo ogólne
148	miss the bus	przegapić autobus	BG1_U1_L4	Słownictwo ogólne
149	pocket money	kieszonkowe	BG1_U1_L4	Słownictwo ogólne
150	print	drukować	BG1_U1_L4	Słownictwo ogólne
151	printer	drukarka	BG1_U1_L4	Słownictwo ogólne
152	repair	naprawić, naprawa	BG1_U1_L4	Słownictwo ogólne
153	shout at somebody	krzyczeć na kogoś	BG1_U1_L4	Słownictwo ogólne
154	souvenir	sklep z pamiątkami	BG1_U1_L4	Słownictwo ogólne
155	teenager	nastolatek	BG1_U1_L4	Słownictwo ogólne
156	ticket	bilet	BG1_U1_L4	Słownictwo ogólne
157	too	też, również	BG1_U1_L4	Słownictwo ogólne
158	volleyball	siatkówka	BG1_U1_L4	Słownictwo ogólne
159	wash the dishes	zmywać naczynia	BG1_U1_L4	Słownictwo ogólne
160	what's the matter?	co się stało?	BG1_U1_L4	Słownictwo ogólne
161	always	zawsze	BG1_U1_L4	Przysłówki częstotliwości
162	never	nigdy	BG1_U1_L4	Przysłówki częstotliwości
163	often	często	BG1_U1_L4	Przysłówki częstotliwości
164	once	raz	BG1_U1_L4	Przysłówki częstotliwości
165	seldom	rzadko	BG1_U1_L4	Przysłówki częstotliwości
166	sometimes	czasami	BG1_U1_L4	Przysłówki częstotliwości
167	three times	trzy razy	BG1_U1_L4	Przysłówki częstotliwości
168	twice	dwa razy	BG1_U1_L4	Przysłówki częstotliwości
169	usually	zazwyczaj	BG1_U1_L4	Przysłówki częstotliwości
170	mum	matka, mama	BG1_U2_L1	Rodzina
171	dad	ojciec, tata	BG1_U2_L1	Rodzina
172	sister	siostra	BG1_U2_L1	Rodzina
173	brother	brat	BG1_U2_L1	Rodzina
174	wife	żona	BG1_U2_L1	Rodzina
175	husband	mąż	BG1_U2_L1	Rodzina
176	parents	rodzice	BG1_U2_L1	Rodzina
177	daughter	córka	BG1_U2_L1	Rodzina
178	son	syn	BG1_U2_L1	Rodzina
179	children	dzieci	BG1_U2_L1	Rodzina
180	grandma	babcia	BG1_U2_L1	Rodzina
181	grandpa	dziadek	BG1_U2_L1	Rodzina
182	grandparents	dziadkowie	BG1_U2_L1	Rodzina
183	grandchild	wnuczek	BG1_U2_L1	Rodzina
184	granddaughter	wnuczka	BG1_U2_L1	Rodzina
185	grandson	wnuczek	BG1_U2_L1	Rodzina
186	cousin	kuzyn, kuzynka	BG1_U2_L1	Rodzina
187	aunt	ciotka	BG1_U2_L1	Rodzina
188	uncle	wujek	BG1_U2_L1	Rodzina
189	nephew	siostrzeniec, bratanek	BG1_U2_L1	Rodzina
190	niece	siostrzenica, bratanica	BG1_U2_L1	Rodzina
191	family	rodzina	BG1_U2_L1	Rodzina
192	relatives	krewni	BG1_U2_L1	Rodzina
193	attend school	uczęszczać do szkoły	BG1_U2_L1	Słownictwo ogólne
194	together	razem	BG1_U2_L1	Słownictwo ogólne
195	married	zamężna, żonaty, po ślubie	BG1_U2_L1	Słownictwo ogólne
196	cute	słodki, śliczny	BG1_U2_L1	Słownictwo ogólne
197	relation	relacja	BG1_U2_L1	Słownictwo ogólne
198	at the weekend	w weekend	BG1_U2_L1	Słownictwo ogólne
199	seldom	rzadko, rzadko kiedy	BG1_U2_L1	Słownictwo ogólne
200	rarely	rzadko, rzadko kiedy	BG1_U2_L1	Słownictwo ogólne
201	hardly ever	rzadko, rzadko kiedy	BG1_U2_L1	Słownictwo ogólne
202	unfortunately	niestety	BG1_U2_L1	Słownictwo ogólne
203	twins	bliźniaki	BG1_U2_L1	Słownictwo ogólne
204	college	uczelnia wyższa	BG1_U2_L1	Słownictwo ogólne
205	favourite	ulubiony	BG1_U2_L1	Słownictwo ogólne
206	male	rodzaj męski, mężczyzna	BG1_U2_L1	Słownictwo ogólne
207	female	rodzaj żeński, kobieta	BG1_U2_L1	Słownictwo ogólne
208	friendly	przyjazny	BG1_U2_L1	Słownictwo ogólne
209	person	osoba	BG1_U2_L1	Słownictwo ogólne
210	people	ludzie	BG1_U2_L1	Słownictwo ogólne
211	who	kto	BG1_U2_L1	Słownictwo ogólne
212	memory	pamięć	BG1_U2_L1	Słownictwo ogólne
213	dining room	jadalnia	BG1_U2_L2	Pokoje i meble
214	living room	pokój dzienny, duży pokój	BG1_U2_L2	Pokoje i meble
215	bathroom	łazienka	BG1_U2_L2	Pokoje i meble
216	bedroom	sypialnia	BG1_U2_L2	Pokoje i meble
217	kitchen	kuchnia	BG1_U2_L2	Pokoje i meble
218	study	gabinet	BG1_U2_L2	Pokoje i meble
219	balcony	balkon	BG1_U2_L2	Pokoje i meble
220	garden	ogród	BG1_U2_L2	Pokoje i meble
221	attic	poddasze, strych	BG1_U2_L2	Pokoje i meble
222	table	stół	BG1_U2_L2	Pokoje i meble
223	chair	krzesło	BG1_U2_L2	Pokoje i meble
224	armchair	fotel	BG1_U2_L2	Pokoje i meble
225	carpet	dywan	BG1_U2_L2	Pokoje i meble
226	floor	podłoga	BG1_U2_L2	Pokoje i meble
227	TV set	telewizor	BG1_U2_L2	Pokoje i meble
228	curtains	zasłonki	BG1_U2_L2	Pokoje i meble
229	sofa	sofa, kanapa	BG1_U2_L2	Pokoje i meble
230	window	okno	BG1_U2_L2	Pokoje i meble
231	door	drzwi	BG1_U2_L2	Pokoje i meble
232	coffee table	stolik, ława	BG1_U2_L2	Pokoje i meble
233	bath	wanna	BG1_U2_L2	Pokoje i meble
234	shower	prysznic	BG1_U2_L2	Pokoje i meble
235	bed	łóżko	BG1_U2_L2	Pokoje i meble
236	wardrobe	szafa	BG1_U2_L2	Pokoje i meble
237	bedside table	stolik, szafka nocna	BG1_U2_L2	Pokoje i meble
238	lamp	lampa	BG1_U2_L2	Pokoje i meble
239	cupboard	szafka kuchenna	BG1_U2_L2	Pokoje i meble
240	cooker	kuchenka	BG1_U2_L2	Pokoje i meble
241	microwave	mikrofalówka	BG1_U2_L2	Pokoje i meble
242	oven	piekarnik	BG1_U2_L2	Pokoje i meble
243	chest of drowers	komoda	BG1_U2_L2	Pokoje i meble
244	desk	biurko	BG1_U2_L2	Pokoje i meble
245	fantastic	fantastyczny	BG1_U2_L2	Słownictwo ogólne
246	comfortable	wygodny, komfortowy	BG1_U2_L2	Słownictwo ogólne
247	location	lokalizacja	BG1_U2_L2	Słownictwo ogólne
248	modern	nowoczesny	BG1_U2_L2	Słownictwo ogólne
249	lovely	śliczny, cudowny	BG1_U2_L2	Słownictwo ogólne
250	cosy	przytulny	BG1_U2_L2	Słownictwo ogólne
251	space	przestrzeń	BG1_U2_L2	Słownictwo ogólne
252	stylish	stylowy	BG1_U2_L2	Słownictwo ogólne
253	quite	dość, całkiem	BG1_U2_L2	Słownictwo ogólne
254	block of flats	blok mieszkalny	BG1_U2_L2	Słownictwo ogólne
255	furniture	meble	BG1_U2_L2	Słownictwo ogólne
256	equipment	sprzęt	BG1_U2_L2	Słownictwo ogólne
257	wall	ściana	BG1_U2_L3	Słownictwo ogólne
258	ornament	dekoracja; ozdoba	BG1_U2_L3	Słownictwo ogólne
259	bouquet of flowers	bukiet kwiatów	BG1_U2_L3	Słownictwo ogólne
260	souvenir	pamiątka	BG1_U2_L3	Słownictwo ogólne
261	light	lekki	BG1_U2_L3	Słownictwo ogólne
262	chest of drawers	komoda	BG1_U2_L3	Słownictwo ogólne
263	vase	wazon	BG1_U2_L3	Słownictwo ogólne
264	strange	dziwny	BG1_U2_L3	Słownictwo ogólne
265	stranger	nieznajomy	BG1_U2_L3	Słownictwo ogólne
266	over	ponad; nad	BG1_U2_L3	Słownictwo ogólne
267	above	ponad; nad	BG1_U2_L3	Słownictwo ogólne
268	toilet	toaleta; klozet	BG1_U2_L3	Słownictwo ogólne
269	stone	kamień	BG1_U2_L3	Słownictwo ogólne
270	shell	muszelka	BG1_U2_L3	Słownictwo ogólne
271	surprise	niespodzianka	BG1_U2_L3	Słownictwo ogólne
272	spend	spędzać	BG1_U2_L3	Słownictwo ogólne
273	over there	o, tam	BG1_U2_L3	Słownictwo ogólne
274	show somebody around	oprowadzić kogoś	BG1_U2_L3	Słownictwo ogólne
275	listen	słuchać	BG1_U2_L3	Słownictwo ogólne
276	with	z	BG1_U2_L3	Słownictwo ogólne
277	without	bez	BG1_U2_L3	Słownictwo ogólne
278	radiator	grzejnik; kaloryfer	BG1_U2_L3	Słownictwo ogólne
279	photograph	fotografia; zdjęcie	BG1_U2_L3	Słownictwo ogólne
280	stereo	stereo; wieża	BG1_U2_L3	Słownictwo ogólne
281	bookcase	regał na książki	BG1_U2_L3	Słownictwo ogólne
282	bed clothes	pościel	BG1_U2_L3	Słownictwo ogólne
283	mirror	lustro	BG1_U2_L3	Słownictwo ogólne
284	washing machine	pralka	BG1_U2_L3	Słownictwo ogólne
285	rug	dywanik	BG1_U2_L3	Słownictwo ogólne
286	best friend	najlepszy przyjaciel	BG1_U2_L3	Słownictwo ogólne
287	rent	wynajmować	BG1_U2_L4	Słownictwo ogólne
288	estate agency	biuro nieruchomości	BG1_U2_L4	Słownictwo ogólne
289	estate agent	agent nieruchomości	BG1_U2_L4	Słownictwo ogólne
290	kettle	czajnik	BG1_U2_L4	Słownictwo ogólne
291	cooker	kuchenka	BG1_U2_L4	Słownictwo ogólne
292	table lamp	lampa stołowa	BG1_U2_L4	Słownictwo ogólne
293	single bed	pojedyncze łóżko	BG1_U2_L4	Słownictwo ogólne
294	double bed	podwójne łóżko	BG1_U2_L4	Słownictwo ogólne
295	oven	piec	BG1_U2_L4	Słownictwo ogólne
296	bookcase	regał na książki	BG1_U2_L4	Słownictwo ogólne
297	night stand	stolik nocny	BG1_U2_L4	Słownictwo ogólne
298	fridge	lodówka	BG1_U2_L4	Słownictwo ogólne
299	dishwasher	zmywarka	BG1_U2_L4	Słownictwo ogólne
300	stylish	stylowy, szykowny	BG1_U2_L4	Słownictwo ogólne
301	chic	stylowy, szykowny	BG1_U2_L4	Słownictwo ogólne
302	maybe	może	BG1_U2_L4	Słownictwo ogólne
303	as well	również; też	BG1_U2_L4	Słownictwo ogólne
304	also	również; też	BG1_U2_L4	Słownictwo ogólne
305	too	również; też	BG1_U2_L4	Słownictwo ogólne
306	sure	pewnie	BG1_U2_L4	Słownictwo ogólne
307	talk on the phone	rozmawiać przez telefon	BG1_U2_L4	Słownictwo ogólne
308	pay	płacić	BG1_U2_L4	Słownictwo ogólne
309	sell	sprzedawać	BG1_U2_L4	Słownictwo ogólne
310	buy	kupować	BG1_U2_L4	Słownictwo ogólne
311	doorbell	dzwonek do drzwi	BG1_U2_L4	Słownictwo ogólne
312	great idea	świetny pomysł	BG1_U2_L4	Słownictwo ogólne
313	housing estate 	osiedle mieszkaniowe	BG1_U2_L4	Słownictwo ogólne
314	expensive 	drogi	BG1_U3_L1	Zakupy
315	cheap 	tani	BG1_U3_L1	Zakupy
316	shopping list 	lista zakupów	BG1_U3_L1	Zakupy
317	shop assistant 	sprzedawca	BG1_U3_L1	Zakupy
318	shopping basket 	koszyk na zakupy	BG1_U3_L1	Zakupy
319	greengrocer's 	warzywniak	BG1_U3_L1	Zakupy
320	price 	cena	BG1_U3_L1	Zakupy
321	buy 	kupować	BG1_U3_L1	Zakupy
322	customer 	klient	BG1_U3_L1	Zakupy
323	blackcurrant 	czarna porzeczka	BG1_U3_L1	Zakupy
324	pineapple 	ananas	BG1_U3_L1	Zakupy
325	kilo 	kilo	BG1_U3_L1	Zakupy
326	need 	potrzebować	BG1_U3_L1	Zakupy
327	cost 	kosztować	BG1_U3_L1	Zakupy
328	value 	wartość	BG1_U3_L1	Zakupy
329	certainly 	oczywiście, z pewnością, naturalnie	BG1_U3_L2	Słownictwo ogólne
330	hat 	kapelusz	BG1_U3_L2	Słownictwo ogólne
331	watch 	zegarek	BG1_U3_L2	Słownictwo ogólne
332	scarf 	szalik	BG1_U3_L2	Słownictwo ogólne
333	gift 	prezent	BG1_U3_L2	Słownictwo ogólne
334	digital 	elektroniczny	BG1_U3_L2	Słownictwo ogólne
335	gold 	złoty	BG1_U3_L2	Słownictwo ogólne
336	jewellery 	biżuteria	BG1_U3_L2	Słownictwo ogólne
337	counter 	lada	BG1_U3_L2	Słownictwo ogólne
338	recommend 	polecić	BG1_U3_L2	Słownictwo ogólne
339	show 	pokazać	BG1_U3_L2	Słownictwo ogólne
340	gadget 	gadżet	BG1_U3_L2	Słownictwo ogólne
341	rich 	bogaty	BG1_U3_L2	Słownictwo ogólne
342	shopaholic 	maniak zakupów, zakupoholik	BG1_U3_L2	Słownictwo ogólne
343	bookshop 	księgarnia	BG1_U3_L3	Słownictwo ogólne
344	library 	biblioteka	BG1_U3_L3	Słownictwo ogólne
345	indoor market 	targ	BG1_U3_L3	Słownictwo ogólne
346	bakery 	piekarnia	BG1_U3_L3	Słownictwo ogólne
347	silver 	srebrny	BG1_U3_L3	Słownictwo ogólne
348	train 	pociąg	BG1_U3_L3	Słownictwo ogólne
349	in front of	przed	BG1_U3_L3	Słownictwo ogólne
350	between	pomiędzy	BG1_U3_L3	Słownictwo ogólne
351	behind 	za	BG1_U3_L3	Słownictwo ogólne
352	next to 	obok	BG1_U3_L3	Słownictwo ogólne
353	post box 	skrzynka pocztowa	BG1_U3_L3	Słownictwo ogólne
354	wrong 	niewłaściwy	BG1_U3_L3	Słownictwo ogólne
355	cinema 	kino	BG1_U3_L3	Słownictwo ogólne
356	mouse 	mysz	BG1_U3_L4	Słownictwo ogólne
357	tooth 	ząb	BG1_U3_L4	Słownictwo ogólne
358	foot 	stopa	BG1_U3_L4	Słownictwo ogólne
359	fish 	ryba / ryba, ryby / rybki	BG1_U3_L4	Słownictwo ogólne
360	fish tank 	akwarium	BG1_U3_L4	Słownictwo ogólne
361	fish food 	pokarm dla rybek	BG1_U3_L4	Słownictwo ogólne
362	aggressive 	agresywny	BG1_U3_L4	Słownictwo ogólne
363	water 	woda	BG1_U3_L4	Słownictwo ogólne
364	puppy 	szczeniak	BG1_U3_L4	Słownictwo ogólne
365	bite 	gryźć	BG1_U3_L4	Słownictwo ogólne
366	cake 	ciasto	BG1_U3_L4	Słownictwo ogólne
367	farm 	gospodarstwo	BG1_U3_L4	Słownictwo ogólne
368	seed	nasiono, ziarno	BG1_U3_L4	Słownictwo ogólne
369	nut 	orzech	BG1_U3_L4	Słownictwo ogólne
370	fruit 	owoc	BG1_U3_L4	Słownictwo ogólne
371	shoe	but	BG1_U3_L4	Słownictwo ogólne
372	butter	masło	BG1_U4_L1	Gotowanie
373	chicken	kurczak	BG1_U4_L1	Gotowanie
374	cookery book	książka kucharska	BG1_U4_L1	Gotowanie
375	cup	filiżanka	BG1_U4_L1	Gotowanie
376	delicious	smaczne	BG1_U4_L1	Gotowanie
377	egg	jajko	BG1_U4_L1	Gotowanie
378	fish soup	zupa rybna	BG1_U4_L1	Gotowanie
379	flour	mąka	BG1_U4_L1	Gotowanie
380	glass	szklanka	BG1_U4_L1	Gotowanie
381	ingredient	składnik	BG1_U4_L1	Gotowanie
382	milk	mleko	BG1_U4_L1	Gotowanie
383	oil	olej	BG1_U4_L1	Gotowanie
384	omelette	omlet	BG1_U4_L1	Gotowanie
385	onion	cebula	BG1_U4_L1	Gotowanie
386	pancake	naleśnik	BG1_U4_L1	Gotowanie
387	pinch	szczypta	BG1_U4_L1	Gotowanie
388	potato	ziemniak	BG1_U4_L1	Gotowanie
389	prepare	przygotować	BG1_U4_L1	Gotowanie
390	salt	sól	BG1_U4_L1	Gotowanie
391	spoon	łyżeczka	BG1_U4_L1	Gotowanie
392	sugar	cukier	BG1_U4_L1	Gotowanie
393	water	woda	BG1_U4_L1	Gotowanie
394	wine	wino	BG1_U4_L1	Gotowanie
395	countable	policzalne	BG1_U4_L1	Słownictwo ogólne
396	delicious	smaczne	BG1_U4_L1	Słownictwo ogólne
397	money	pieniądze	BG1_U4_L1	Słownictwo ogólne
398	need	potrzebować	BG1_U4_L1	Słownictwo ogólne
399	well	cóż, więc	BG1_U4_L1	Słownictwo ogólne
400	surprise	niespodzianka	BG1_U4_L1	Słownictwo ogólne
401	uncountable	niepoliczalne	BG1_U4_L1	Słownictwo ogólne
402	how much	ile	BG1_U4_L1	Słownictwo ogólne
403	how many	ile	BG1_U4_L1	Słownictwo ogólne
404	bowl	miska	BG1_U4_L2	Gotowanie
405	break the eggs	rozbić jajka	BG1_U4_L2	Gotowanie
406	cake tin	foremka do ciasta	BG1_U4_L2	Gotowanie
407	chop	posiekać, pokroić	BG1_U4_L2	Gotowanie
408	cut	pociąć	BG1_U4_L2	Gotowanie
409	fork	widelec	BG1_U4_L2	Gotowanie
410	knife	nóż	BG1_U4_L2	Gotowanie
411	melt	rozpuścić	BG1_U4_L2	Gotowanie
412	mix	wymieszać	BG1_U4_L2	Gotowanie
413	microwave	mikrofalówka	BG1_U4_L2	Gotowanie
414	oven	piec	BG1_U4_L2	Gotowanie
415	pinch	szczypta	BG1_U4_L2	Gotowanie
416	teaspoon	mała łyżeczka	BG1_U4_L2	Gotowanie
417	add	dodać	BG1_U4_L2	Słownictwo ogólne
418	adventure	przygoda	BG1_U4_L2	Słownictwo ogólne
419	bigger	większe	BG1_U4_L2	Słownictwo ogólne
420	larger	większe	BG1_U4_L2	Słownictwo ogólne
421	piece	kawałek	BG1_U4_L2	Słownictwo ogólne
422	put	położyć	BG1_U4_L2	Słownictwo ogólne
423	sharper	ostrzejsze	BG1_U4_L2	Słownictwo ogólne
424	that	tamto, tamten, tamta	BG1_U4_L2	Słownictwo ogólne
425	this	to, ta, ten	BG1_U4_L2	Słownictwo ogólne
426	touch	dotykać	BG1_U4_L2	Słownictwo ogólne
427	use	używać	BG1_U4_L2	Słownictwo ogólne
428	a lot of	dużo	BG1_U4_L3	Słownictwo ogólne
429	bad idea	zły pomysł	BG1_U4_L3	Słownictwo ogólne
430	buy	kupić	BG1_U4_L3	Słownictwo ogólne
431	cash machine	bankomat	BG1_U4_L3	Słownictwo ogólne
432	do the shopping	zrobić zakupy	BG1_U4_L3	Słownictwo ogólne
433	guess	zgadnąć	BG1_U4_L3	Słownictwo ogólne
434	imagination	wyobraźnia	BG1_U4_L3	Słownictwo ogólne
435	lots of	dużo	BG1_U4_L3	Słownictwo ogólne
436	make a shopping list	zrobić listę zakupów	BG1_U4_L3	Słownictwo ogólne
437	meal	danie	BG1_U4_L3	Słownictwo ogólne
438	of course	oczywiście	BG1_U4_L3	Słownictwo ogólne
439	on the Internet	w Internecie	BG1_U4_L3	Słownictwo ogólne
440	order	zamówić	BG1_U4_L3	Słownictwo ogólne
